,id,time,x
0,4,0,788
1,4,808,808
2,4,1588,780
3,4,2404,816
4,4,3192,788
5,4,3976,784
6,4,4776,800
7,4,5556,780
8,4,6352,796
9,4,7184,832
10,4,7908,724
11,4,8700,792
12,4,9464,764
13,4,10244,780
14,4,11024,780
15,4,11784,760
16,4,12580,796
17,4,13360,780
18,4,14196,836
19,4,14936,740
20,4,15708,772
21,4,16492,784
22,4,17272,780
23,4,18036,764
24,4,18824,788
25,4,19584,760
26,4,20352,768
27,4,21120,768
28,4,21876,756
29,4,22676,800
30,4,23456,780
31,4,24228,772
32,4,25024,796
33,4,25796,772
34,4,26592,796
35,4,27388,796
36,4,28164,776
37,4,28968,804
38,4,29744,776
39,4,30532,788
40,4,31304,772
41,4,32076,772
42,4,32868,792
43,4,33640,772
44,4,34408,768
45,4,35196,788
46,4,35964,768
47,4,36744,780
48,4,37516,772
49,4,38284,768
50,4,39076,792
51,4,39856,780
52,4,40644,788
53,4,41432,788
54,4,42248,816
55,4,42992,744
56,4,43760,768
57,4,44540,780
58,4,45320,780
59,4,46080,760
60,4,46860,780
61,4,47632,772
62,4,48396,764
63,4,49188,792
64,4,49952,764
65,4,50740,788
66,4,51508,768
67,4,52268,760
68,4,53056,788
69,4,53828,772
70,4,54620,792
71,4,55392,772
72,4,56208,816
73,4,56932,724
74,4,57696,764
75,4,58436,740
76,4,59184,748
77,4,59944,760
78,4,60704,760
79,4,61472,768
80,4,62228,756
81,4,63008,780
82,4,63800,792
83,4,64580,780
84,4,65420,840
85,4,66208,788
86,4,67000,792
87,4,67808,808
88,4,68588,780
89,4,69404,816
90,4,70192,788
91,4,70972,780
92,4,71768,796
93,4,72544,776
94,4,73388,844
95,4,74192,804
96,4,74988,796
97,4,75796,808
98,4,76572,776
99,4,77388,816
100,4,78184,796
101,4,78976,792
102,4,79788,812
103,4,80588,800
104,4,81428,840
105,4,82236,808
106,4,83048,812
107,4,83852,804
108,4,84648,796
109,4,85448,800
110,4,86228,780
111,4,87040,812
112,4,87844,804
113,4,88656,812
114,4,89484,828
115,4,90280,796
116,4,91108,828
117,4,91920,812
118,4,92736,816
119,4,93564,828
120,4,94356,792
121,4,95160,804
122,4,95936,776
123,4,96728,792
124,4,97520,792
125,4,98300,780
126,4,99112,812
127,4,99904,792
128,4,100704,800
129,4,101512,808
130,4,102296,784
131,4,103112,816
132,4,103912,800
133,4,104696,784
134,4,105488,792
